Instancja;N;Metoda_Sasiedztwa;Chlodzenie;Wsp_Chlodzenia;Startowa_T;RNN_Start;Czas[us];Najlepszy_Koszt;Optimum;Blad_Wzgledny[%];Sprawdzonych_Sasiadow
ftv70;71;swap;geometric;0.9;7100;TAK;24564;2287;1950;17.282051;122120
ftv70;71;invert;geometric;0.9;7100;TAK;27530;2287;1950;17.282051;122120
ftv70;71;insert;geometric;0.9;7100;TAK;27934;2287;1950;17.282051;122120
ftv70;71;swap;geometric;0.95;7100;TAK;521013;2287;1950;17.282051;2506300
ftv70;71;invert;geometric;0.95;7100;TAK;542102;2287;1950;17.282051;2506300
ftv70;71;invert;geometric;0.95;35500;TAK;596584;2287;1950;17.282051;2726400
ftv70;71;insert;geometric;0.95;35500;TAK;619700;2077;1950;6.512821;2726400
ftv70;71;insert;geometric;0.95;35500;TAK;3184199;1995;1950;2.307692;13632000
ftv70;71;insert;geometric;0.95;71000;TAK;635486;2106;1950;8.000000;2825800
ftv70;71;insert;geometric;0.95;710000;TAK;719608;2044;1950;4.820513;3145300
ftv70;71;insert;geometric;0.9;355000;TAK;344501;2166;1950;11.076923;1483900
ftv70;71;insert;geometric;0.99;355000;TAK;3573423;1983;1950;1.692308;15541900
ftv70;71;insert;geometric;0.999;355000;TAK;33261467;1968;1950;0.923077;144876024
ftv70;71;swap;logarithmic;1;355000;TAK;15100780;2287;1950;17.282051;71000000
ftv70;71;invert;logarithmic;1;355000;TAK;16492571;2287;1950;17.282051;71000000
ftv70;71;insert;logarithmic;1;355000;TAK;17225090;2287;1950;17.282051;71000000
ftv70;71;insert;logarithmic;1;355000;TAK;17175099;2287;1950;17.282051;71000000
ftv70;71;insert;logarithmic;1;710000;TAK;16942161;2287;1950;17.282051;71000000
