Instancja;N;Metoda_Sasiedztwa;Chlodzenie;Wsp_Chlodzenia;Startowa_T;RNN_Start;Czas[us];Najlepszy_Koszt;Optimum;Blad_Wzgledny[%];Sprawdzonych_Sasiadow
rbg323;323;swap;geometric;0.9;32300;TAK;340736;1572;1326;18.552036;600780
rbg323;323;invert;geometric;0.9;32300;TAK;367457;1702;1326;28.355958;600780
rbg323;323;insert;geometric;0.9;32300;TAK;378075;1626;1326;22.624434;600780
rbg323;323;swap;geometric;0.95;32300;TAK;6954625;1469;1326;10.784314;12338600
rbg323;323;invert;geometric;0.95;32300;TAK;7089227;1702;1326;28.355958;12338600
rbg323;323;invert;geometric;0.95;161500;TAK;7760116;1702;1326;28.355958;13372200
rbg323;323;insert;geometric;0.95;161500;TAK;7920855;1424;1326;7.390649;13372200
rbg323;323;insert;geometric;0.95;161500;TAK;40482475;1399;1326;5.505279;66861000
rbg323;323;insert;geometric;0.95;323000;TAK;8267751;1430;1326;7.843137;13792100
rbg323;323;insert;geometric;0.95;3.23e+06;TAK;9395667;1460;1326;10.105581;15245600
rbg323;323;insert;geometric;0.9;1.615e+06;TAK;4332414;1544;1326;16.440422;7235200
rbg323;323;insert;geometric;0.99;1.615e+06;TAK;45933997;1414;1326;6.636501;75549700
rbg323;323;insert;geometric;0.999;1.615e+06;TAK;207409050;1702;1326;28.355958;323000000
rbg323;323;swap;logarithmic;1;1.615e+06;TAK;191927556;1702;1326;28.355958;323000000
rbg323;323;invert;logarithmic;1;1.615e+06;TAK;201009944;1702;1326;28.355958;323000000
rbg323;323;insert;logarithmic;1;1.615e+06;TAK;203727560;1702;1326;28.355958;323000000
rbg323;323;insert;logarithmic;1;1.615e+06;TAK;207449903;1702;1326;28.355958;323000000
rbg323;323;insert;logarithmic;1;3.23e+06;TAK;204495363;1702;1326;28.355958;323000000
