Instancja;N;Metoda_Mutacji;Prawd_Mutacji[%];Rozmiar_Populacji;Liczba_Pokolen;RNN_Start;Czas[us];Najlepszy_Koszt;Optimum;Blad_Wzgledny[%];Wygenerowanych_Osobnikow
gr229;229;swap;5;50;2000;TAK;271768;156973;134602;16.620110;25284
gr229;229;swap;5;100;2000;TAK;586917;155784;134602;15.736765;53559
gr229;229;swap;5;200;2000;TAK;2358965;154511;134602;14.791014;221089
gr229;229;swap;1;100;2000;TAK;665819;156290;134602;16.112688;56727
gr229;229;swap;10;100;2000;TAK;1672812;155854;134602;15.788770;155034
gr229;229;invert;10;100;2000;TAK;2017096;148801;134602;10.548877;184635
gr229;229;insert;10;100;2000;TAK;2250489;152200;134602;13.074100;198000
gr229;229;invert;10;200;5000;TAK;10212514;140427;134602;4.327573;995000
gr229;229;invert;15;300;10000;TAK;15305995;138306;134602;2.751816;1509053
gr229;229;insert;10;200;5000;TAK;10575358;145558;134602;8.139552;995000
gr229;229;insert;15;300;10000;TAK;25422475;142655;134602;5.982823;2428777
gr229;229;insert;15;500;20000;TAK;49468225;144213;134602;7.140310;4731019
