Instancja;N;Metoda_Mutacji;Prawd_Mutacji[%];Rozmiar_Populacji;Liczba_Pokolen;RNN_Start;Czas[us];Najlepszy_Koszt;Optimum;Blad_Wzgledny[%];Wygenerowanych_Osobnikow
pr124;124;swap;5;50;2000;TAK;270552;66209;59030;12.161613;48167
pr124;124;swap;5;100;2000;TAK;1091780;65908;59030;11.651703;198000
pr124;124;swap;5;200;2000;TAK;1226463;66568;59030;12.769778;218900
pr124;124;swap;1;100;2000;TAK;446708;66655;59030;12.917161;81873
pr124;124;swap;10;100;2000;TAK;712835;65523;59030;10.999492;122958
pr124;124;invert;10;100;2000;TAK;507328;64047;59030;8.499068;84645
pr124;124;insert;10;100;2000;TAK;835861;64913;59030;9.966119;147906
pr124;124;invert;10;200;5000;TAK;2804169;61017;59030;3.366085;518992
pr124;124;invert;15;300;10000;TAK;4929808;61052;59030;3.425377;905671
pr124;124;insert;10;200;5000;TAK;4039304;64314;59030;8.951381;739086
pr124;124;insert;15;300;10000;TAK;5532212;64638;59030;9.500254;989391
pr124;124;insert;15;500;20000;TAK;11353328;64449;59030;9.180078;2059872
