Instancja;N;Metoda_Mutacji;Prawd_Mutacji[%];Rozmiar_Populacji;Liczba_Pokolen;RNN_Start;Czas[us];Najlepszy_Koszt;Optimum;Blad_Wzgledny[%];Wygenerowanych_Osobnikow
gr24;24;swap;5;50;2000;TAK;66807;1394;1272;9.591195;41454
gr24;24;swap;5;100;2000;TAK;58636;1423;1272;11.871069;40392
gr24;24;swap;5;200;2000;TAK;107418;1423;1272;11.871069;81391
gr24;24;swap;1;100;2000;TAK;68636;1384;1272;8.805031;51777
gr24;24;swap;10;100;2000;TAK;64752;1397;1272;9.827044;49698
gr24;24;invert;10;100;2000;TAK;59002;1317;1272;3.537736;44451
gr24;24;insert;10;100;2000;TAK;68275;1332;1272;4.716981;49995
gr24;24;invert;10;200;5000;TAK;268447;1328;1272;4.402516;207955
gr24;24;invert;15;300;10000;TAK;792364;1328;1272;4.402516;605176
gr24;24;insert;10;200;5000;TAK;351910;1304;1272;2.515723;220094
gr24;24;insert;15;300;10000;TAK;800193;1349;1272;6.053459;608465
gr24;24;insert;15;500;20000;TAK;2451579;1374;1272;8.018868;2003485
