Instancja;N;Metoda_Mutacji;Prawd_Mutacji[%];Rozmiar_Populacji;Liczba_Pokolen;RNN_Start;Czas[us];Najlepszy_Koszt;Optimum;Blad_Wzgledny[%];Wygenerowanych_Osobnikow
rl1889;1889;swap;5;50;2000;TAK;2637370;374845;316536;18.420969;19600
rl1889;1889;swap;5;100;2000;TAK;5035145;374845;316536;18.420969;39600
rl1889;1889;swap;5;200;2000;TAK;10140718;374845;316536;18.420969;79600
rl1889;1889;swap;1;100;2000;TAK;4932892;374845;316536;18.420969;39600
rl1889;1889;swap;10;100;2000;TAK;5003474;374845;316536;18.420969;39600
rl1889;1889;invert;10;100;2000;TAK;6034126;374229;316536;18.226363;48114
rl1889;1889;insert;10;100;2000;TAK;4979684;374845;316536;18.420969;39600
rl1889;1889;invert;10;200;5000;TAK;125149955;371510;316536;17.367377;989627
rl1889;1889;invert;15;300;10000;TAK;378444982;364575;316536;15.176473;2990000
rl1889;1889;insert;10;200;5000;TAK;125719469;373195;316536;17.899702;995000
rl1889;1889;insert;15;300;10000;TAK;377690689;371851;316536;17.475106;2990000
rl1889;1889;insert;15;500;20000;TAK;900045682;368439;316536;16.397187;7049872
