Iteracja;Czas[us];Obecny_Koszt;Najlepszy_Koszt
499;12444;49201;49201
5489;104828;49201;49201
10479;185103;49201;49201
15469;266414;49201;49201
20459;345289;49101;49101
25449;426284;49101;49101
30439;504905;49101;49101
35429;586119;49092;49092
40419;663871;49074;49074
45409;741420;49074;49074
50399;819345;49074;49074
55389;895957;49062;49062
60379;974709;49062;49062
65369;1052907;48679;48679
70359;1131684;48565;48565
75349;1212279;48537;48537
80339;1291145;48529;48529
85329;1369659;48485;48485
90319;1448219;48323;48323
95309;1525819;48290;48290
100299;1612697;48254;48254
105289;1699698;48254;48254
110279;1783789;48233;48233
115269;1868794;48149;48149
120259;1952489;48084;48084
125249;2046102;48084;48084
130239;2136370;48084;48084
135229;2222142;48084;48084
140219;2310536;48070;48070
145209;2398228;48070;48070
150199;2486205;48070;48070
155189;2574003;48070;48070
160179;2662000;48070;48070
165169;2752638;48070;48070
170159;2840937;48070;48070
175149;2928223;48041;48041
180139;3017938;48041;48041
185129;3103336;47976;47976
190119;3192100;47976;47976
195109;3287748;47976;47976
200099;3398328;47902;47902
205089;3484504;47902;47902
210079;3569630;47902;47902
215069;3663474;47902;47902
220059;3764070;47902;47902
225049;3866083;47902;47902
230039;3969149;47900;47900
235029;4055952;47900;47900
240019;4142604;47900;47900
245009;4230022;47672;47672
249999;4316686;47672;47672
254989;4408571;47672;47672
259979;4496066;47672;47672
264969;4582031;47580;47580
269959;4668007;47580;47580
274949;4752937;47478;47478
279939;4837712;47449;47449
284929;4920528;47449;47449
289919;5003317;47449;47449
294909;5087838;47439;47439
299899;5171926;47374;47374
304889;5255274;47352;47352
309879;5337740;47352;47352
314869;5419582;47352;47352
319859;5502378;47352;47352
324849;5583095;47352;47352
329839;5665980;47352;47352
334829;5749429;47352;47352
339819;5836409;47335;47335
344809;5917625;47335;47335
349799;6004657;47335;47335
354789;6086597;47335;47335
359779;6170161;47335;47335
364769;6253756;47335;47335
369759;6335918;47335;47335
374749;6415975;47335;47335
379739;6496935;47335;47335
384729;6577991;47335;47335
389719;6660887;47335;47335
394709;6746285;47335;47335
399699;6829012;47335;47335
404689;6911972;47335;47335
409679;6997058;47335;47335
414669;7082626;47335;47335
419659;7167065;47335;47335
424649;7251833;47335;47335
429639;7335470;47335;47335
434629;7417811;47279;47279
439619;7500396;47279;47279
444609;7583170;47279;47279
449599;7673175;47279;47279
454589;7757062;47279;47279
459579;7837648;47279;47279
464569;7917974;47279;47279
469559;7998738;47279;47279
474549;8085511;47279;47279
479539;8170170;47279;47279
484529;8251929;47279;47279
489519;8333645;47279;47279
494509;8419086;47221;47221
499499;8499324;47221;47221
504489;8577213;47221;47221
509479;8654593;47221;47221
514469;8731787;47221;47221
519459;8811673;47221;47221
524449;8889506;47221;47221
529439;8968024;47221;47221
534429;9045142;47221;47221
539419;9123046;47221;47221
544409;9201059;47210;47210
549399;9281195;47204;47204
554389;9358686;47204;47204
559379;9437259;47204;47204
564369;9516305;47204;47204
569359;9594269;47204;47204
