Iteracja;Czas[us];Obecny_Koszt;Najlepszy_Koszt
149;5123;58950;58950
1639;42961;58950;58950
3129;77753;58950;58950
4619;113484;58950;58950
6109;147886;58950;58950
7599;182039;58950;58950
9089;216609;58950;58950
10579;250846;58950;58950
12069;284881;58950;58950
13559;319298;58950;58950
15049;354403;58950;58950
16539;388803;58950;58950
18029;423067;58950;58950
19519;458113;58950;58950
21009;492806;58950;58950
22499;527321;58950;58950
23989;561388;58950;58950
25479;595022;58950;58950
26969;629161;58950;58950
28459;663118;58950;58950
29949;698431;58950;58950
31439;732941;58950;58950
32929;767839;58950;58950
34419;802686;58950;58950
35909;837033;58950;58950
37399;872209;58950;58950
38889;906922;58950;58950
40379;941070;58950;58950
41869;975061;58950;58950
43359;1009181;58950;58950
44849;1043752;58950;58950
46339;1078670;58950;58950
47829;1113525;58950;58950
49319;1147409;58950;58950
50809;1181522;58950;58950
52299;1215168;58950;58950
53789;1248723;58950;58950
55279;1283547;58950;58950
56769;1318326;58950;58950
58259;1351794;58950;58950
