Iteracja;Czas[us];Obecny_Koszt;Najlepszy_Koszt
149;4973;58950;58950
1639;40964;58950;58950
3129;74246;58950;58950
4619;107853;58950;58950
6109;141822;58950;58950
7599;175227;58950;58950
9089;208212;58950;58950
10579;241196;58950;58950
12069;275213;58950;58950
13559;309248;58950;58950
15049;343192;58950;58950
16539;376321;58950;58950
18029;409905;58950;58950
19519;443276;58950;58950
21009;477592;58950;58950
22499;511654;58950;58950
23989;545139;58950;58950
25479;579241;58950;58950
26969;612593;58950;58950
28459;649267;58950;58950
29949;685677;58950;58950
31439;722538;58950;58950
32929;757517;58950;58950
34419;791995;58950;58950
35909;827852;58950;58950
37399;863040;58950;58950
38889;900132;58950;58950
40379;935941;58950;58950
41869;970949;58950;58950
43359;1004523;58950;58950
44849;1038419;58950;58950
46339;1071927;58950;58950
47829;1105701;58950;58950
49319;1138819;58950;58950
50809;1172705;58950;58950
52299;1207559;58950;58950
53789;1241552;58950;58950
55279;1275567;58950;58950
56769;1309010;58950;58950
58259;1342379;58950;58950
