Iteracja;Czas[us];Obecny_Koszt;Najlepszy_Koszt
499;5256;67055;67055
5489;41860;66869;66869
10479;73543;66136;66136
15469;104253;65975;65975
20459;132559;65975;65975
25449;162083;65504;65504
30439;191767;65504;65504
35429;219757;65504;65504
40419;248047;65351;65351
45409;276093;65351;65351
50399;304692;65170;65170
55389;333619;64546;64546
60379;362059;64546;64546
65369;389815;64449;64449
70359;417764;64449;64449
75349;446096;64449;64449
80339;473508;64449;64449
85329;501460;64449;64449
90319;531203;64449;64449
95309;561301;64449;64449
100299;590291;64449;64449
105289;618736;64449;64449
110279;647787;64449;64449
115269;676673;64449;64449
120259;704956;64449;64449
125249;733609;64449;64449
130239;761848;64449;64449
135229;790705;64449;64449
140219;819537;64449;64449
145209;848157;64449;64449
150199;876343;64449;64449
155189;904342;64449;64449
160179;932565;64449;64449
165169;960403;64449;64449
170159;988794;64449;64449
175149;1016909;64449;64449
180139;1044576;64449;64449
185129;1074930;64449;64449
190119;1103495;64449;64449
195109;1132238;64449;64449
200099;1161141;64449;64449
205089;1188820;64449;64449
210079;1217584;64449;64449
215069;1245415;64449;64449
220059;1273092;64449;64449
225049;1301229;64449;64449
230039;1331539;64449;64449
235029;1359114;64449;64449
240019;1386843;64449;64449
245009;1413907;64449;64449
249999;1441382;64449;64449
254989;1468910;64449;64449
259979;1495934;64449;64449
264969;1524557;64449;64449
269959;1551965;64449;64449
274949;1579584;64449;64449
279939;1606513;64449;64449
284929;1633723;64449;64449
289919;1661247;64449;64449
294909;1688411;64449;64449
299899;1715626;64449;64449
304889;1742729;64449;64449
309879;1769623;64449;64449
314869;1797089;64449;64449
319859;1824450;64449;64449
324849;1851576;64449;64449
329839;1878844;64449;64449
334829;1906672;64449;64449
339819;1933747;64449;64449
344809;1960905;64449;64449
349799;1988350;64449;64449
354789;2015687;64449;64449
359779;2042576;64449;64449
364769;2069970;64449;64449
369759;2097004;64449;64449
374749;2125914;64449;64449
379739;2154358;64449;64449
384729;2181479;64449;64449
389719;2208399;64449;64449
394709;2235810;64449;64449
399699;2262928;64449;64449
404689;2290354;64449;64449
409679;2319016;64449;64449
414669;2347810;64449;64449
419659;2375278;64449;64449
424649;2402203;64449;64449
429639;2429638;64449;64449
434629;2456812;64449;64449
439619;2483696;64449;64449
444609;2510932;64449;64449
449599;2538375;64449;64449
454589;2565975;64449;64449
459579;2593030;64449;64449
464569;2619827;64449;64449
469559;2646639;64449;64449
474549;2673741;64449;64449
479539;2701340;64449;64449
484529;2728750;64449;64449
489519;2755741;64449;64449
494509;2782561;64449;64449
499499;2809915;64449;64449
504489;2837507;64449;64449
509479;2864840;64449;64449
514469;2892233;64449;64449
519459;2920086;64449;64449
524449;2949913;64449;64449
529439;2977377;64449;64449
534429;3004590;64449;64449
539419;3031726;64449;64449
544409;3059384;64449;64449
549399;3088781;64449;64449
554389;3116508;64449;64449
559379;3143794;64449;64449
564369;3171481;64449;64449
569359;3199209;64449;64449
574349;3226264;64449;64449
579339;3253327;64449;64449
584329;3280816;64449;64449
589319;3308625;64449;64449
594309;3337427;64449;64449
599299;3364635;64449;64449
604289;3393250;64449;64449
609279;3420460;64449;64449
614269;3447181;64449;64449
619259;3476445;64449;64449
624249;3503516;64449;64449
629239;3531223;64449;64449
634229;3558303;64449;64449
639219;3586711;64449;64449
644209;3614912;64449;64449
649199;3642848;64449;64449
654189;3671902;64449;64449
659179;3699582;64449;64449
664169;3726643;64449;64449
669159;3753776;64449;64449
674149;3781357;64449;64449
679139;3808874;64449;64449
684129;3836966;64449;64449
689119;3866123;64449;64449
694109;3894034;64449;64449
699099;3921434;64449;64449
704089;3948712;64449;64449
709079;3975741;64449;64449
714069;4005048;64449;64449
719059;4033256;64449;64449
724049;4060625;64449;64449
