Iteracja;Czas[us];Obecny_Koszt;Najlepszy_Koszt
149;5002;58950;58950
1639;42833;58950;58950
3129;78060;58950;58950
4619;114847;58950;58950
6109;149085;58950;58950
7599;182696;58950;58950
9089;216852;58950;58950
10579;251241;58950;58950
12069;285588;58950;58950
13559;320258;58950;58950
15049;353483;58950;58950
16539;387775;58950;58950
18029;422161;58950;58950
19519;456906;58950;58950
21009;491698;58950;58950
22499;525289;58950;58950
23989;558137;58950;58950
25479;591747;58950;58950
26969;626171;58950;58950
28459;661660;58950;58950
29949;695798;58950;58950
31439;729356;58950;58950
32929;763761;58950;58950
34419;798111;58950;58950
35909;832537;58950;58950
37399;866803;58950;58950
38889;900415;58950;58950
40379;934431;58950;58950
41869;969403;58950;58950
43359;1003502;58950;58950
44849;1037769;58950;58950
46339;1071601;58950;58950
47829;1106152;58950;58950
49319;1140633;58950;58950
50809;1174296;58929;58929
52299;1207247;58929;58929
53789;1242278;58929;58929
55279;1276425;58929;58929
56769;1310780;58929;58929
58259;1345072;58929;58929
59749;1379130;58929;58929
61239;1413481;58929;58929
62729;1448169;58929;58929
64219;1481534;58929;58929
65709;1516500;58929;58929
67199;1551817;58929;58929
68689;1586327;58929;58929
70179;1620118;58929;58929
71669;1654852;58421;58421
73159;1688989;58367;58367
74649;1723943;58367;58367
76139;1757744;58367;58367
77629;1791792;58367;58367
79119;1826204;58367;58367
80609;1861514;58367;58367
82099;1895608;58367;58367
83589;1929800;58367;58367
85079;1963522;58367;58367
86569;1997461;58367;58367
88059;2030954;58367;58367
89549;2065763;58367;58367
91039;2100007;58367;58367
92529;2135128;58367;58367
94019;2169474;58367;58367
95509;2203160;58367;58367
96999;2236835;58367;58367
98489;2270985;58367;58367
99979;2304916;58367;58367
101469;2340175;58367;58367
102959;2373512;58367;58367
104449;2407896;58367;58367
105939;2442074;58367;58367
107429;2475908;58367;58367
108919;2509465;58367;58367
110409;2543211;58367;58367
111899;2577698;58367;58367
113389;2611014;58367;58367
114879;2645639;58367;58367
116369;2679502;58367;58367
117859;2714613;58367;58367
119349;2748369;58367;58367
120839;2782770;58367;58367
122329;2817447;58367;58367
123819;2851572;58367;58367
125309;2885676;58367;58367
126799;2920168;58367;58367
128289;2956067;58367;58367
129779;2990258;58367;58367
131269;3025177;58367;58367
