Iteracja;Czas[us];Obecny_Koszt;Najlepszy_Koszt
499;56933;306195;306195
5489;509717;306195;306195
10479;934587;306195;306195
15469;1354959;306195;306195
20459;1772349;305999;305999
25449;2189003;305999;305999
30439;2596826;305999;305999
35429;3015556;305999;305999
40419;3431513;305999;305999
45409;3839323;305999;305999
50399;4262838;305999;305999
55389;4673278;305999;305999
60379;5085875;305999;305999
65369;5492494;305999;305999
70359;5901120;305999;305999
75349;6315929;305999;305999
80339;6726243;305999;305999
85329;7142446;305999;305999
90319;7554962;305999;305999
95309;7965805;305999;305999
100299;8378821;305999;305999
105289;8787345;305999;305999
110279;9196996;305999;305999
115269;9624067;305999;305999
120259;10058042;305999;305999
125249;10475618;305999;305999
130239;10886772;305999;305999
135229;11295490;305999;305999
140219;11706740;305999;305999
145209;12120449;305999;305999
150199;12532545;305999;305999
155189;12940418;305999;305999
160179;13350844;305999;305999
165169;13758288;305999;305999
170159;14174109;305999;305999
175149;14585439;305999;305999
180139;14999160;305999;305999
185129;15408877;305999;305999
190119;15813745;305999;305999
195109;16224962;305999;305999
200099;16638302;305923;305923
205089;17051015;305923;305923
210079;17457113;305923;305923
215069;17865374;305923;305923
220059;18274307;305887;305887
225049;18684659;305887;305887
230039;19095411;305887;305887
235029;19503131;305887;305887
240019;19918185;305887;305887
245009;20325979;305887;305887
249999;20732916;305887;305887
254989;21164408;305887;305887
259979;21574620;305887;305887
264969;21986241;305887;305887
269959;22399410;305887;305887
274949;22808172;305887;305887
279939;23219219;305887;305887
284929;23622801;305887;305887
289919;24031744;305887;305887
294909;24442695;305887;305887
299899;24848307;305887;305887
304889;25260106;305887;305887
309879;25670965;305887;305887
314869;26076541;305887;305887
319859;26484204;305887;305887
324849;26936027;305887;305887
329839;27389354;305887;305887
334829;27804626;305887;305887
339819;28233995;305887;305887
344809;28696550;305887;305887
349799;29119821;305887;305887
354789;29529364;305887;305887
359779;29939312;305887;305887
364769;30345971;305887;305887
369759;30760650;305887;305887
374749;31177325;305887;305887
379739;31592489;305887;305887
384729;32005368;305887;305887
389719;32414298;305887;305887
394709;32826721;305887;305887
399699;33236049;305887;305887
404689;33641332;305887;305887
409679;34053589;305887;305887
414669;34467045;305887;305887
419659;34878935;305887;305887
424649;35292928;305887;305887
429639;35702688;305887;305887
434629;36117251;305887;305887
439619;36531928;305887;305887
444609;36936894;305887;305887
449599;37343554;305716;305716
454589;37754377;305716;305716
459579;38166268;305716;305716
464569;38575130;305716;305716
469559;38980166;305716;305716
474549;39392091;305716;305716
479539;39802121;305716;305716
484529;40217077;305716;305716
489519;40633348;305408;305408
494509;41039742;305408;305408
499499;41449418;305404;305404
504489;41861984;305404;305404
509479;42267461;305404;305404
514469;42674876;305404;305404
519459;43084570;305404;305404
524449;43494012;305404;305404
529439;43904103;305404;305404
534429;44310934;305365;305365
539419;44721635;305365;305365
544409;45126027;305365;305365
549399;45534109;305365;305365
554389;45942356;305365;305365
559379;46355239;305365;305365
564369;46767865;305365;305365
569359;47177022;305365;305365
574349;47585742;304742;304742
579339;47990996;304680;304680
584329;48402462;304680;304680
589319;48808556;304680;304680
594309;49219091;304680;304680
599299;49630885;304680;304680
604289;50038592;304680;304680
609279;50451955;304680;304680
614269;50861823;304680;304680
619259;51268473;304653;304653
624249;51679914;304653;304653
629239;52084582;304653;304653
634229;52498523;304653;304653
639219;52910954;304653;304653
644209;53321026;304653;304653
649199;53729292;304653;304653
654189;54142709;304653;304653
659179;54554919;304653;304653
664169;54966009;304653;304653
669159;55375233;304653;304653
674149;55784925;304653;304653
679139;56192059;304653;304653
684129;56603884;304653;304653
689119;57042898;304653;304653
694109;57459052;304643;304643
699099;57872261;304643;304643
704089;58298149;304643;304643
709079;58746670;304643;304643
714069;59160884;304643;304643
719059;59575019;304643;304643
724049;59986537;304639;304639
729039;60402715;304639;304639
734029;60810166;304639;304639
739019;61220010;304639;304639
744009;61631305;304639;304639
748999;62039500;304639;304639
753989;62449792;304639;304639
758979;62866777;304639;304639
763969;63279832;304639;304639
768959;63691657;304639;304639
773949;64096986;304639;304639
778939;64513208;304639;304639
783929;64923814;304639;304639
788919;65331293;304639;304639
793909;65739640;304547;304547
798899;66145539;304547;304547
803889;66555135;304547;304547
808879;66975735;304547;304547
813869;67388313;304547;304547
818859;67797597;304547;304547
823849;68207720;304462;304462
828839;68620680;304462;304462
833829;69033774;304462;304462
838819;69444281;304462;304462
843809;69858913;304462;304462
848799;70269914;304462;304462
853789;70676656;304462;304462
858779;71089451;304462;304462
863769;71497275;304462;304462
868759;71905782;304462;304462
873749;72314681;304462;304462
878739;72730761;304462;304462
883729;73141236;304462;304462
888719;73548572;304368;304368
893709;73959884;304368;304368
898699;74370561;304368;304368
903689;74781466;304368;304368
908679;75191966;304368;304368
913669;75602542;304368;304368
918659;76008091;304368;304368
923649;76425221;304368;304368
928639;76837276;304368;304368
933629;77247462;304368;304368
938619;77660097;304368;304368
943609;78066223;304368;304368
948599;78477287;304368;304368
953589;78887437;304368;304368
958579;79299933;304368;304368
963569;79707591;304368;304368
968559;80113230;304368;304368
973549;80524363;304368;304368
978539;80936094;304368;304368
983529;81343528;304368;304368
988519;81755357;304368;304368
993509;82164331;304368;304368
998499;82575118;304368;304368
1003489;82985550;304368;304368
1008479;83396819;304368;304368
1013469;83802638;304368;304368
1018459;84214014;304368;304368
1023449;84622139;304368;304368
1028439;85032511;304368;304368
1033429;85440507;304368;304368
1038419;85853742;304368;304368
1043409;86264073;304368;304368
1048399;86682999;304368;304368
1053389;87103474;304368;304368
1058379;87516687;304368;304368
1063369;87931401;304368;304368
1068359;88358755;304368;304368
1073349;88789980;304368;304368
1078339;89215747;304368;304368
1083329;89627729;304368;304368
1088319;90061928;304368;304368
1093309;90483992;304368;304368
1098299;90905972;304368;304368
1103289;91316379;304368;304368
1108279;91727186;304368;304368
1113269;92137498;304368;304368
1118259;92550834;304368;304368
1123249;92965726;304368;304368
1128239;93375215;304368;304368
1133229;93784322;304368;304368
1138219;94193007;304368;304368
1143209;94600436;304368;304368
1148199;95010628;304368;304368
1153189;95421805;304368;304368
1158179;95829747;304368;304368
1163169;96240907;304368;304368
1168159;96650434;304368;304368
1173149;97059449;304368;304368
1178139;97467674;304368;304368
1183129;97879265;304368;304368
1188119;98286317;304368;304368
1193109;98699614;304368;304368
1198099;99111364;304368;304368
1203089;99516003;304368;304368
1208079;99926641;304368;304368
1213069;100339579;304368;304368
1218059;100750202;304368;304368
1223049;101158308;304368;304368
1228039;101568133;304368;304368
1233029;101980744;304368;304368
1238019;102391600;304368;304368
1243009;102804274;304368;304368
1247999;103216858;304368;304368
1252989;103625745;304368;304368
1257979;104032205;304368;304368
1262969;104439301;304368;304368
1267959;104847766;304368;304368
1272949;105256260;304368;304368
1277939;105669553;304368;304368
1282929;106083178;304368;304368
1287919;106495503;304368;304368
1292909;106903455;304368;304368
1297899;107313839;304368;304368
1302889;107720200;304368;304368
1307879;108128045;304368;304368
1312869;108537452;304368;304368
1317859;108955233;304368;304368
1322849;109365454;304368;304368
1327839;109780024;304368;304368
1332829;110193703;304368;304368
1337819;110615139;304368;304368
1342809;111034062;304368;304368
1347799;111449877;304368;304368
1352789;111862065;304368;304368
1357779;112276992;304368;304368
1362769;112699509;304368;304368
1367759;113109232;304368;304368
1372749;113516438;304368;304368
1377739;113928024;304368;304368
1382729;114337697;304368;304368
1387719;114746851;304368;304368
1392709;115158878;304368;304368
1397699;115568184;304368;304368
1402689;115981552;304368;304368
1407679;116391102;304368;304368
1412669;116822018;304368;304368
1417659;117273519;304368;304368
1422649;117684714;304368;304368
1427639;118098206;304368;304368
1432629;118540946;304368;304368
1437619;118965652;304192;304192
1442609;119377141;304192;304192
1447599;119780729;304192;304192
