Iteracja;Czas[us];Obecny_Koszt;Najlepszy_Koszt
8816500;4058305;144490;144490
8839400;4068304;144490;144490
8862300;4078305;144490;144490
8885200;4088096;144490;144490
8908100;4098022;144490;144490
8931000;4107958;144490;144490
8953900;4117798;144490;144490
8976800;4127782;144490;144490
8999700;4137846;144490;144490
9022600;4147878;144490;144490
9045500;4157627;144490;144490
9068400;4167797;144490;144490
9091300;4177923;144490;144490
9114200;4187961;144490;144490
9137100;4198117;144490;144490
9160000;4208021;144490;144490
9182900;4217796;144490;144490
9205800;4227604;144490;144490
9228700;4237463;144490;144490
9251600;4247508;144490;144490
9274500;4257376;144490;144490
9297400;4267279;144490;144490
9320300;4277079;144490;144490
