Iteracja;Czas[us];Obecny_Koszt;Najlepszy_Koszt
161500;105903;6311;1702
323000;208097;6063;1702
484500;312090;6298;1702
646000;413154;6214;1702
807500;515961;6172;1702
969000;616783;6138;1702
1130500;717746;6335;1702
1292000;821346;6209;1702
1453500;921724;6092;1702
1615000;1023395;6164;1702
1776500;1123896;6222;1702
1938000;1226718;6158;1702
2099500;1327493;6374;1702
2261000;1426683;6173;1702
2422500;1524965;6139;1702
2584000;1622842;6088;1702
2745500;1721541;6150;1702
2907000;1819741;6240;1702
3068500;1917830;6362;1702
3230000;2015833;6331;1702
3391500;2113605;5985;1702
3553000;2212335;6307;1702
3714500;2310951;6085;1702
3876000;2409642;6099;1702
4037500;2509671;6032;1702
4199000;2608562;6254;1702
4360500;2707405;6460;1702
4522000;2804894;6168;1702
4683500;2902894;6150;1702
4845000;3000847;6354;1702
5006500;3098887;6089;1702
5168000;3197038;6143;1702
5329500;3294926;6155;1702
5491000;3392858;6126;1702
5652500;3491826;5915;1702
5814000;3589578;6136;1702
5975500;3687218;6047;1702
6137000;3784576;6141;1702
6298500;3882571;5876;1702
6460000;3980960;6489;1702
6621500;4078702;6136;1702
6783000;4176249;6227;1702
6944500;4274347;6049;1702
7106000;4372091;6324;1702
7267500;4470432;6192;1702
7429000;4568193;6101;1702
7590500;4665227;6250;1702
7752000;4762907;6211;1702
7913500;4860937;6066;1702
8075000;4958980;6157;1702
8236500;5056456;6172;1702
8398000;5154328;6066;1702
8559500;5251675;5777;1702
8721000;5349995;6185;1702
8882500;5448117;6146;1702
9044000;5546782;6187;1702
9205500;5644651;6209;1702
9367000;5742886;6191;1702
9528500;5840616;6022;1702
9690000;5938668;6120;1702
9851500;6036880;5922;1702
10013000;6134648;6389;1702
10174500;6233943;6052;1702
10336000;6333768;6071;1702
10497500;6431548;6139;1702
10659000;6529049;6234;1702
10820500;6627252;6073;1702
10982000;6725419;6173;1702
11143500;6823781;6182;1702
11305000;6921656;5985;1702
11466500;7019469;6091;1702
11628000;7117523;6281;1702
11789500;7215386;6303;1702
11951000;7313107;6204;1702
12112500;7411018;5999;1702
12274000;7509900;6104;1702
12435500;7607811;5941;1702
12597000;7705733;6245;1702
12758500;7803978;6267;1702
12920000;7901681;5940;1702
13081500;8000466;5998;1702
13243000;8100562;6148;1702
13404500;8199020;6140;1702
13566000;8297293;6296;1702
13727500;8395882;6258;1702
13889000;8495089;6251;1702
14050500;8592819;6147;1702
14212000;8690801;6100;1702
14373500;8791713;6340;1702
14535000;8892637;6263;1702
14696500;8990297;6208;1702
14858000;9088046;6274;1702
15019500;9185596;6114;1702
15181000;9285929;6199;1702
15342500;9392414;6106;1702
15504000;9492646;6059;1702
15665500;9590817;6279;1702
15827000;9689060;5975;1702
15988500;9787316;6043;1702
16150000;9885173;6166;1702
16311500;9983549;6328;1702
16473000;10082330;6133;1702
16634500;10182797;6284;1702
16796000;10289139;6171;1702
16957500;10396273;6044;1702
17119000;10503446;6217;1702
17280500;10610290;6122;1702
17442000;10717442;6079;1702
17603500;10825126;6056;1702
17765000;10932165;5884;1702
17926500;11039531;6257;1702
18088000;11143654;6063;1702
18249500;11241649;6117;1702
18411000;11339549;6280;1702
18572500;11437429;6271;1702
18734000;11536281;5992;1702
18895500;11633843;6105;1702
19057000;11735263;6078;1702
19218500;11839051;6313;1702
19380000;11946165;6162;1702
19541500;12051938;6117;1702
19703000;12159855;6172;1702
19864500;12264669;6290;1702
20026000;12371466;6164;1702
20187500;12478462;6236;1702
20349000;12579425;6440;1702
20510500;12677585;6336;1702
20672000;12777038;6133;1702
20833500;12940352;6056;1702
20995000;13049442;6136;1702
21156500;13157119;6066;1702
21318000;13254961;6218;1702
21479500;13358855;6216;1702
21641000;13467054;6278;1702
21802500;13574884;6305;1702
21964000;13681224;6074;1702
22125500;13788708;5938;1702
22287000;13897082;6204;1702
22448500;14001216;6054;1702
22610000;14104939;6254;1702
22771500;14214866;6313;1702
22933000;14324317;6148;1702
23094500;14433677;6127;1702
23256000;14534836;6236;1702
23417500;14636195;6384;1702
23579000;14739946;6278;1702
23740500;14838096;6252;1702
23902000;14944948;6395;1702
24063500;15048493;6086;1702
24225000;15147917;6140;1702
24386500;15246370;6084;1702
24548000;15344631;6242;1702
24709500;15442895;6188;1702
24871000;15541583;6214;1702
25032500;15640570;6027;1702
25194000;15738367;6230;1702
25355500;15836909;6221;1702
25517000;15934189;6230;1702
25678500;16032440;6148;1702
25840000;16131655;6056;1702
26001500;16229376;6373;1702
26163000;16327827;6189;1702
26324500;16426359;6346;1702
26486000;16524497;6311;1702
26647500;16623392;6325;1702
26809000;16720661;6171;1702
26970500;16818365;6442;1702
27132000;16915908;6172;1702
27293500;17019355;6513;1702
27455000;17128764;6148;1702
27616500;17237161;6152;1702
27778000;17340173;6370;1702
27939500;17439766;5909;1702
28101000;17538179;6214;1702
28262500;17636622;6194;1702
28424000;17739277;6139;1702
28585500;17855998;6282;1702
28747000;17965416;6051;1702
28908500;18078794;6220;1702
29070000;18189969;6347;1702
29231500;18299593;6171;1702
29393000;18403536;5975;1702
29554500;18513797;6186;1702
29716000;18618533;6129;1702
29877500;18730616;6213;1702
30039000;18844840;6124;1702
30200500;18958623;6132;1702
30362000;19069109;6277;1702
30523500;19177921;6256;1702
30685000;19294542;6229;1702
30846500;19409051;6159;1702
31008000;19526246;6133;1702
31169500;19638135;6360;1702
31331000;19745558;6362;1702
31492500;19854278;6089;1702
31654000;19960844;5993;1702
31815500;20087740;6228;1702
31977000;20191213;6429;1702
32138500;20296039;6239;1702
32300000;20404796;6277;1702
32461500;20515266;6271;1702
32623000;20620500;6343;1702
32784500;20723014;6307;1702
32946000;20828933;6113;1702
33107500;20937395;6133;1702
33269000;21043758;6405;1702
33430500;21147171;6194;1702
33592000;21250838;6195;1702
33753500;21353589;6389;1702
33915000;21458134;6204;1702
34076500;21561996;6086;1702
34238000;21669677;6037;1702
34399500;21776941;6149;1702
34561000;21883204;6160;1702
34722500;21986024;6205;1702
34884000;22088242;5931;1702
35045500;22192051;6013;1702
35207000;22298555;6258;1702
35368500;22406762;6270;1702
35530000;22514301;5981;1702
35691500;22620037;6329;1702
35853000;22722389;6208;1702
36014500;22831845;6169;1702
36176000;22937791;6429;1702
36337500;23040064;6213;1702
36499000;23140124;6377;1702
36660500;23239140;6117;1702
36822000;23341664;6081;1702
36983500;23453114;6163;1702
37145000;23564463;6056;1702
37306500;23672811;6505;1702
37468000;23774366;6274;1702
37629500;23880249;6144;1702
37791000;23980254;6293;1702
37952500;24082928;6134;1702
38114000;24186592;6013;1702
38275500;24286423;6112;1702
38437000;24406564;6139;1702
38598500;24520078;6117;1702
38760000;24638709;6324;1702
38921500;24750175;6175;1702
39083000;24867641;6236;1702
39244500;24987577;6117;1702
39406000;25094934;6161;1702
39567500;25208061;5935;1702
39729000;25338870;6319;1702
39890500;25462974;6218;1702
40052000;25575255;6335;1702
40213500;25692937;6065;1702
40375000;25836704;6019;1702
40536500;25953495;6319;1702
40698000;26067863;6163;1702
40859500;26174893;6463;1702
41021000;26280578;6253;1702
41182500;26382715;6203;1702
41344000;26494250;6410;1702
41505500;26597163;6305;1702
41667000;26699137;6072;1702
41828500;26805909;6396;1702
41990000;26913225;6174;1702
42151500;27020003;6431;1702
42313000;27126744;6122;1702
42474500;27235972;6195;1702
42636000;27347607;6286;1702
42797500;27457918;6141;1702
42959000;27559509;6154;1702
43120500;27662288;5850;1702
43282000;27762492;6251;1702
43443500;27871853;6144;1702
43605000;27982603;6117;1702
43766500;28090902;6120;1702
43928000;28199102;6062;1702
44089500;28306497;6408;1702
44251000;28411170;6123;1702
44412500;28513391;6273;1702
44574000;28619961;6357;1702
44735500;28726254;6256;1702
44897000;28832495;6212;1702
45058500;28939786;6153;1702
45220000;29041205;6061;1702
45381500;29142246;6274;1702
45543000;29247294;6235;1702
45704500;29353796;6072;1702
45866000;29462081;6207;1702
46027500;29564645;6407;1702
46189000;29664396;6138;1702
46350500;29763871;6021;1702
46512000;29863599;6081;1702
46673500;29964354;6177;1702
46835000;30070704;6169;1702
46996500;30175952;6379;1702
47158000;30275384;6236;1702
47319500;30383734;6285;1702
47481000;30503575;6159;1702
47642500;30637267;6401;1702
47804000;30749168;6213;1702
47965500;30857712;6207;1702
48127000;30968631;6235;1702
48288500;31076838;6152;1702
48450000;31179094;6157;1702
48611500;31282484;6228;1702
48773000;31391294;6334;1702
48934500;31499233;6394;1702
49096000;31603334;6133;1702
49257500;31708237;6127;1702
49419000;31814206;6308;1702
49580500;31913633;6276;1702
49742000;32019976;6065;1702
49903500;32125809;6157;1702
50065000;32225262;6064;1702
50226500;32323262;6231;1702
50388000;32434104;6120;1702
50549500;32545172;6212;1702
50711000;32647314;6141;1702
50872500;32755974;6001;1702
51034000;32865985;6213;1702
51195500;32970388;6299;1702
51357000;33070858;6282;1702
51518500;33177168;6192;1702
51680000;33279853;6013;1702
51841500;33386371;6318;1702
52003000;33492352;6131;1702
52164500;33599051;6142;1702
52326000;33700548;6208;1702
52487500;33799728;6222;1702
52649000;33903239;6086;1702
52810500;34004844;6315;1702
52972000;34103985;6165;1702
53133500;34203503;5931;1702
53295000;34307364;6305;1702
53456500;34416438;6150;1702
53618000;34517625;6125;1702
53779500;34619489;6129;1702
53941000;34720020;6207;1702
54102500;34823711;6220;1702
54264000;34923949;6104;1702
54425500;35023031;5972;1702
54587000;35121781;6251;1702
54748500;35224875;6059;1702
54910000;35332971;6263;1702
55071500;35442892;6365;1702
55233000;35556177;6011;1702
55394500;35666162;6420;1702
55556000;35774400;6350;1702
55717500;35882652;6199;1702
55879000;35982861;6423;1702
56040500;36083809;6127;1702
56202000;36196830;6286;1702
56363500;36307320;6358;1702
56525000;36418998;6199;1702
56686500;36524820;6151;1702
56848000;36632167;6410;1702
57009500;36738131;6254;1702
57171000;36837384;6211;1702
57332500;36937216;6092;1702
57494000;37039241;6273;1702
57655500;37138520;6372;1702
57817000;37236567;6279;1702
57978500;37334548;6318;1702
58140000;37458700;5978;1702
58301500;37562400;6078;1702
58463000;37668842;6177;1702
58624500;37780476;6059;1702
58786000;37885117;6239;1702
58947500;37986870;6166;1702
59109000;38086207;6230;1702
59270500;38191253;6015;1702
59432000;38292257;6129;1702
59593500;38393938;6296;1702
59755000;38492391;5979;1702
59916500;38593596;6154;1702
60078000;38708094;6219;1702
60239500;38815826;6233;1702
60401000;38924133;6260;1702
60562500;39056742;6331;1702
60724000;39168988;6293;1702
60885500;39275520;6102;1702
61047000;39381258;6253;1702
61208500;39484733;6125;1702
61370000;39587749;6300;1702
61531500;39688981;6358;1702
61693000;39787809;6081;1702
61854500;39886350;6151;1702
62016000;39992979;6019;1702
62177500;40095939;6234;1702
62339000;40195196;6207;1702
62500500;40293406;6215;1702
62662000;40392917;6410;1702
62823500;40490391;6273;1702
62985000;40588901;6358;1702
63146500;40687843;6214;1702
63308000;40786623;6110;1702
63469500;40884345;6161;1702
63631000;40983132;6564;1702
63792500;41083755;6218;1702
63954000;41185086;6340;1702
64115500;41285222;6206;1702
64277000;41383672;5989;1702
64438500;41484130;6079;1702
64600000;41583411;6291;1702
64761500;41682734;6256;1702
64923000;41780791;6137;1702
65084500;41881176;6211;1702
65246000;41978902;6030;1702
65407500;42081740;6105;1702
65569000;42189841;6207;1702
