Iteracja;Czas[us];Obecny_Koszt;Najlepszy_Koszt
44200;36019;787238;58950
88400;72104;774241;58950
132600;108879;764107;58950
176800;145105;770615;58950
221000;181609;759546;58950
265200;217650;774374;58950
309400;253635;789727;58950
353600;289809;762089;58950
397800;326306;780464;58950
442000;362482;795231;58950
486200;400785;788877;58950
530400;437312;757880;58950
574600;473619;738338;58950
618800;510358;775719;58950
663000;546450;764024;58950
707200;582493;789115;58950
751400;618382;774648;58950
795600;654615;758459;58950
839800;690780;767517;58950
884000;726866;765768;58950
928200;763147;785775;58950
972400;800351;766149;58950
1016600;836824;766363;58950
1060800;874071;783143;58950
1105000;911003;782593;58950
1149200;947578;799122;58950
1193400;983593;770537;58950
1237600;1019627;756249;58950
1281800;1055569;753997;58950
1326000;1091751;771582;58950
1370200;1127885;772891;58950
1414400;1163794;772590;58950
1458600;1200117;763209;58950
1502800;1236074;753026;58950
1547000;1272381;756010;58950
1591200;1309256;773122;58950
1635400;1345289;755748;58950
1679600;1382234;746364;58950
1723800;1419588;776746;58950
1768000;1456849;765724;58950
1812200;1492621;762457;58950
1856400;1528237;763729;58950
1900600;1563905;753350;58950
1944800;1599691;770613;58950
1989000;1635343;715604;58950
2033200;1671130;745861;58950
2077400;1706740;772509;58950
2121600;1743193;743592;58950
2165800;1779137;730699;58950
2210000;1816272;758241;58950
2254200;1852818;746054;58950
2298400;1888964;750107;58950
2342600;1924750;798276;58950
2386800;1960810;780055;58950
2431000;1997053;757792;58950
2475200;2033044;738604;58950
2519400;2068970;764532;58950
2563600;2104582;746929;58950
2607800;2140714;769282;58950
2652000;2176503;720604;58950
2696200;2212774;750301;58950
2740400;2248881;767469;58950
2784600;2286687;744917;58950
2828800;2323287;753117;58950
2873000;2359344;728590;58950
2917200;2396220;742348;58950
2961400;2432450;732999;58950
3005600;2468514;718131;58950
3049800;2505462;728092;58950
3094000;2542930;725782;58950
3138200;2579168;726916;58950
3182400;2615599;734293;58950
3226600;2651714;727956;58950
3270800;2687896;694658;58950
3315000;2724179;744928;58950
3359200;2760536;717043;58950
3403400;2797827;710141;58950
3447600;2834464;724857;58950
3491800;2870781;695926;58950
3536000;2906887;695770;58950
3580200;2942975;705900;58950
3624400;2978888;705201;58950
3668600;3014852;684855;58950
3712800;3052429;654731;58950
3757000;3088552;693897;58950
3801200;3124557;690367;58950
3845400;3160864;670317;58950
3889600;3196912;673446;58950
3933800;3232818;693816;58950
3978000;3268969;636419;58950
4022200;3307682;667571;58950
4066400;3343490;667713;58950
4110600;3380409;648704;58950
4154800;3416221;642278;58950
4199000;3452059;633524;58950
4243200;3487717;618671;58950
4287400;3526032;599998;58950
4331600;3562987;560301;58950
4375800;3600169;589813;58950
4420000;3635902;605913;58950
4464200;3671402;568075;58950
4508400;3706748;563534;58950
4552600;3742193;538812;58950
4596800;3779045;553021;58950
4641000;3817353;543077;58950
4685200;3856482;510350;58950
4729400;3893173;501207;58950
4773600;3929639;516314;58950
4817800;3966931;480369;58950
4862000;4002417;474870;58950
4906200;4037715;454449;58950
4950400;4072936;426250;58950
4994600;4109114;430181;58950
5038800;4144350;440168;58950
5083000;4179736;407613;58950
5127200;4214921;399167;58950
5171400;4251380;400915;58950
5215600;4289777;383354;58950
5259800;4331186;334091;58950
5304000;4370917;340624;58950
5348200;4406128;326018;58950
5392400;4441349;319391;58950
5436600;4476614;295978;58950
5480800;4511894;297011;58950
5525000;4546681;284317;58950
5569200;4581712;260955;58950
5613400;4617867;258491;58950
5657600;4652857;256729;58950
5701800;4688014;244967;58950
5746000;4722862;233011;58950
5790200;4757536;206029;58950
5834400;4793097;205161;58950
5878600;4828490;200660;58950
5922800;4865474;193003;58950
5967000;4906398;194084;58950
6011200;4945268;171773;58950
6055400;4985673;171448;58950
6099600;5022617;171494;58950
6143800;5059769;157584;58950
6188000;5096254;154482;58950
6232200;5131787;153787;58950
6276400;5170561;147254;58950
6320600;5211775;137972;58950
6364800;5251282;133084;58950
6409000;5288599;127137;58950
6453200;5325721;121042;58950
6497400;5362592;120610;58950
6541600;5399553;110062;58950
6585800;5439608;107343;58950
6630000;5478138;106073;58950
6674200;5514024;102422;58950
6718400;5549556;98622;58950
6762600;5584837;94088;58950
6806800;5620248;96095;58950
6851000;5655390;91438;58950
6895200;5692399;90417;58950
6939400;5730669;86418;58950
6983600;5766662;82278;58950
7027800;5802065;81270;58950
7072000;5837235;78608;58950
7116200;5873135;78337;58950
7160400;5908208;75772;58950
7204600;5943282;74757;58950
7248800;5978793;73875;58950
7293000;6013470;73305;58950
7337200;6047861;71667;58950
7381400;6082340;70792;58950
7425600;6117196;70746;58950
7469800;6152138;69634;58950
7514000;6187099;67303;58950
7558200;6223247;66512;58950
7602400;6258146;65636;58950
7646600;6293192;65038;58950
7690800;6328073;64782;58950
7735000;6362691;64457;58950
7779200;6397274;64015;58950
7823400;6431987;62803;58950
7867600;6466934;62951;58950
7911800;6501657;62756;58950
7956000;6536570;62252;58950
8000200;6571034;62022;58950
8044400;6605557;61418;58950
8088600;6640172;61635;58950
8132800;6675135;61330;58950
8177000;6709895;61085;58950
8221200;6744747;60926;58950
8265400;6779813;60587;58950
8309600;6815311;60544;58950
8353800;6852174;60570;58950
8398000;6889051;60333;58950
8442200;6924461;60214;58950
8486400;6961392;60196;58950
8530600;6996776;60163;58950
8574800;7032309;60088;58950
8619000;7067358;60053;58950
8663200;7102167;59924;58950
8707400;7137280;59831;58950
8751600;7172112;59814;58950
8795800;7207314;59735;58950
8840000;7242052;59750;58950
8884200;7276893;59677;58950
8928400;7312328;59587;58950
8972600;7347265;59587;58950
9016800;7382084;59630;58950
9061000;7416942;59628;58950
9105200;7452036;59575;58950
9149400;7487047;59537;58950
9193600;7522103;59513;58950
9237800;7556708;59515;58950
9282000;7591056;59533;58950
9326200;7625439;59535;58950
